p_val	pct.1	pct.2	p_val_adj	diff
ENST00000358056.7	0.0875514040857117	0.18	0.516	1	-0.0162726083923413
ENST00000545075.2	0.0898319875948967	0.314	0	1	-0.00547955987346522
ENST00000515234.1	0.0958375857425471	0.106	0	1	0.00209366471671341
ENST00000517608.5	0.0968383390675867	0.083	0	1	0.00162626930221593
ENST00000287590.5	0.0993216385883428	0.123	0	1	-0.000626409060183646
ENST00000405506.2	0.101678487502103	0.042	0	1	-0.00118362701118383
ENST00000372692.8	0.102256079266483	0.506	0.228	1	-0.00217589381988137
ENST00000485827.1	0.107173185149428	0.055	0	1	0.00142182218737456
ENST00000010404.6	0.107313417296594	0.116	0	1	0.00210712373099109
ENST00000483575.5	0.110648649684214	0.146	0.461	1	-0.00776074351723979
ENST00000509622.5	0.111169608067442	0.242	0	1	-0.00134190561935466
ENST00000565723.1	0.111265404926075	0.053	0	1	0.00201922211978976
ENST00000490569.5	0.115785821324395	0.027	0	1	-0.0019505479356087
ENST00000361390.2	0.11682107477791	0.055	0.444	1	0.000703429188419159
ENST00000409887.3	0.117519211864247	0.066	0	1	0.000597606083300852
ENST00000638183.1	0.117755586961568	0.229	0	1	-0.000844930309364928
ENST00000462494.5	0.119075361512745	0.087	0	1	-0.0042297986645409
ENST00000393658.6	0.120529599923744	0	0.527	1	-0.0189018121737063
ENST00000556820.2	0.12257228783323	0	0.066	1	-0.00460400183926453
ENST00000647795.1	0.12302397915636	0.102	0.121	1	-0.00180468198077356
ENST00000547798.1	0.124850528445812	0.152	0	1	0.00128524404983746
ENST00000610020.1	0.127997221873925	0.07	0	1	0.00228335313981691
ENST00000436459.2	0.128965251062121	0.138	0	1	-0.00261218759768243
ENST00000296930.9	0.135099324609117	0	0.098	1	-0.0117720530158143
ENST00000433104.2	0.137917788702158	0.055	0	1	-0.000498311585845684
ENST00000380698.4	0.14110738942403	0.032	0	1	-0.000967064686173008
ENST00000357790.5	0.146981218753782	0.076	0	1	-0.00175280987026214
ENST00000304786.11	0.148865159078943	0	0.101	1	-0.000947180019474551
ENST00000606017.1	0.148865159078943	0	0.13	1	-0.00383943260964294
ENST00000330752.12	0.153430281895005	0	0.133	1	-0.0108707451539358
ENST00000420788.2	0.153678997153541	0.473	0.524	1	-0.00626210823319353
ENST00000237837.1	0.157049652612883	0.062	0	1	0.00125520718797495
ENST00000512158.5	0.158886995525454	0	0.11	1	-0.00673109622567615
ENST00000624793.1	0.162863317396768	0	0.21	1	-0.00642837542668439
ENST00000451500.5	0.165966710700106	0.265	0.519	1	-0.00707962515987102
ENST00000456586.5	0.166166186835747	0.095	0	1	-0.00129557990223683
ENST00000498385.1	0.175038844021338	0.074	0	1	-0.000228117381964844
ENST00000625385.1	0.175038844021338	0.074	0	1	-0.000228117381964844
ENST00000487099.6	0.176341824716456	0.223	0	1	-6.14578822282774e-05
ENST00000491306.5	0.180648166096928	0.311	0.124	1	-5.61314440955772e-05
ENST00000492917.2	0.184986087044039	0	0.28	1	-0.00784224986551129
ENST00000293831.12	0.187544015285906	0	0.098	1	-0.00619793596199232
ENST00000540040.2	0.188121852062142	0.617	0.461	1	-0.00513162644939745
ENST00000286201.2	0.19106684182761	0.091	0	1	0.000499258041009169
ENST00000369817.6	0.196396918997628	0	0.13	1	-0.00227939018985741
